               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  76,            0.063364,            0.015759,            0.031298,             0.20966,             0.53542,             0.62823,             0.28478,             0.03703,           0.0083484,            0.019929,             0.00703,             0.00703,             0.00703
                  77,            0.057626,            0.015117,            0.028824,             0.20966,             0.53542,             0.62823,             0.28478,             0.03703,           0.0083484,            0.019929,           0.0069904,           0.0069904,           0.0069904
                  78,            0.059417,            0.016323,            0.029012,             0.27325,                   1,             0.67458,             0.37738,            0.029158,           0.0085241,             0.01971,           0.0069508,           0.0069508,           0.0069508
                  79,            0.055226,             0.01731,            0.032191,             0.27325,                   1,             0.67458,             0.37738,            0.029158,           0.0085241,             0.01971,           0.0069112,           0.0069112,           0.0069112
                  80,            0.050612,            0.016771,            0.028896,             0.26172,             0.85909,             0.38802,             0.22551,            0.036525,           0.0077505,            0.019516,           0.0068716,           0.0068716,           0.0068716
                  81,            0.061271,             0.01836,             0.03025,             0.26172,             0.85909,             0.38802,             0.22551,            0.036525,           0.0077505,            0.019516,            0.006832,            0.006832,            0.006832
                  82,            0.062065,            0.017904,            0.030575,             0.26172,             0.85909,             0.38802,             0.22551,            0.036525,           0.0077505,            0.019516,           0.0067924,           0.0067924,           0.0067924
                  83,            0.054004,            0.015711,            0.030069,             0.42341,                   1,             0.62748,             0.37299,            0.034074,            0.007776,            0.019393,           0.0067528,           0.0067528,           0.0067528
                  84,            0.053112,            0.019239,            0.028918,             0.42341,                   1,             0.62748,             0.37299,            0.034074,            0.007776,            0.019393,           0.0067132,           0.0067132,           0.0067132
                  85,            0.052588,            0.016908,            0.031267,             0.42341,                   1,             0.62748,             0.37299,            0.034074,            0.007776,            0.019393,           0.0066736,           0.0066736,           0.0066736
                  86,            0.050144,            0.017237,            0.029701,             0.39542,                   1,             0.58737,              0.3768,            0.033381,           0.0076245,            0.019311,            0.006634,            0.006634,            0.006634
                  87,            0.053293,            0.017633,            0.030496,             0.39542,                   1,             0.58737,              0.3768,            0.033381,           0.0076245,            0.019311,           0.0065944,           0.0065944,           0.0065944
                  88,            0.043365,            0.014812,            0.030065,             0.37302,                   1,             0.59141,             0.23539,            0.027853,           0.0076789,            0.019287,           0.0065548,           0.0065548,           0.0065548
                  89,            0.050519,            0.017619,            0.029906,             0.37302,                   1,             0.59141,             0.23539,            0.027853,           0.0076789,            0.019287,           0.0065152,           0.0065152,           0.0065152
                  90,            0.051983,            0.015884,            0.032574,             0.37302,                   1,             0.59141,             0.23539,            0.027853,           0.0076789,            0.019287,           0.0064756,           0.0064756,           0.0064756
                  91,            0.053374,            0.015642,            0.030913,             0.53809,                   1,             0.65582,               0.405,            0.024954,            0.007664,            0.019152,            0.006436,            0.006436,            0.006436
                  92,            0.044269,            0.016314,            0.029777,             0.53809,                   1,             0.65582,               0.405,            0.024954,            0.007664,            0.019152,           0.0063964,           0.0063964,           0.0063964
                  93,            0.039882,            0.016992,            0.027271,             0.38931,                0.95,             0.67558,             0.30575,            0.039868,           0.0071894,            0.019226,           0.0063568,           0.0063568,           0.0063568
                  94,            0.060438,            0.015951,            0.030471,             0.38931,                0.95,             0.67558,             0.30575,            0.039868,           0.0071894,            0.019226,           0.0063172,           0.0063172,           0.0063172
                  95,            0.061027,            0.012844,            0.029762,             0.38931,                0.95,             0.67558,             0.30575,            0.039868,           0.0071894,            0.019226,           0.0062776,           0.0062776,           0.0062776
                  96,            0.053364,            0.013618,            0.029452,             0.52192,                   1,             0.73658,             0.49039,            0.028017,           0.0073923,            0.019132,            0.006238,            0.006238,            0.006238
                  97,            0.049002,             0.01876,            0.029886,             0.52192,                   1,             0.73658,             0.49039,            0.028017,           0.0073923,            0.019132,           0.0061984,           0.0061984,           0.0061984
                  98,             0.04205,            0.014559,            0.026212,             0.52192,                   1,             0.73658,             0.49039,            0.028017,           0.0073923,            0.019132,           0.0061588,           0.0061588,           0.0061588
                  99,             0.04577,            0.019074,            0.030557,             0.55077,                   1,             0.73615,             0.42301,             0.02727,           0.0073663,            0.019057,           0.0061192,           0.0061192,           0.0061192
                 100,            0.047398,            0.016006,            0.031079,             0.55077,                   1,             0.73615,             0.42301,             0.02727,           0.0073663,            0.019057,           0.0060796,           0.0060796,           0.0060796
                 101,            0.043429,            0.015164,            0.030986,             0.48833,                   1,             0.67518,             0.39263,            0.032005,           0.0071658,            0.018946,             0.00604,             0.00604,             0.00604
                 102,            0.049105,            0.014171,            0.029234,             0.48833,                   1,             0.67518,             0.39263,            0.032005,           0.0071658,            0.018946,           0.0060004,           0.0060004,           0.0060004
                 103,            0.047028,            0.015965,            0.029858,             0.48833,                   1,             0.67518,             0.39263,            0.032005,           0.0071658,            0.018946,           0.0059608,           0.0059608,           0.0059608
