               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  60,            0.061581,            0.019369,            0.031532,             0.52317,             0.76351,             0.63586,             0.25345,            0.039035,           0.0091665,            0.022048,           0.0088318,           0.0088318,           0.0088318
                  61,            0.057544,             0.01568,            0.027368,             0.52317,             0.76351,             0.63586,             0.25345,            0.039035,           0.0091665,            0.022048,            0.008812,            0.008812,            0.008812
                  62,            0.056732,            0.016688,            0.030444,               0.426,             0.75562,             0.56003,             0.13972,            0.050864,           0.0080061,            0.022636,           0.0087922,           0.0087922,           0.0087922
                  63,            0.061574,            0.018236,            0.031706,               0.426,             0.75562,             0.56003,             0.13972,            0.050864,           0.0080061,            0.022636,           0.0087724,           0.0087724,           0.0087724
                  64,            0.065158,            0.016487,            0.031037,               0.426,             0.75562,             0.56003,             0.13972,            0.050864,           0.0080061,            0.022636,           0.0087526,           0.0087526,           0.0087526
                  65,            0.060776,            0.016969,            0.031124,             0.29193,             0.84725,             0.48957,             0.23685,            0.046386,           0.0081818,            0.022151,           0.0087328,           0.0087328,           0.0087328
                  66,            0.060718,            0.017684,            0.031529,             0.29193,             0.84725,             0.48957,             0.23685,            0.046386,           0.0081818,            0.022151,            0.008713,            0.008713,            0.008713
                  67,            0.059817,            0.015833,            0.032053,             0.46415,             0.76818,              0.6066,             0.15495,            0.047936,           0.0081372,            0.021436,           0.0086932,           0.0086932,           0.0086932
                  68,            0.067104,            0.014082,            0.029643,             0.46415,             0.76818,              0.6066,             0.15495,            0.047936,           0.0081372,            0.021436,           0.0086734,           0.0086734,           0.0086734
                  69,               0.068,            0.014349,            0.031673,             0.46415,             0.76818,              0.6066,             0.15495,            0.047936,           0.0081372,            0.021436,           0.0086536,           0.0086536,           0.0086536
                  70,            0.063818,            0.016386,            0.029569,             0.33421,             0.80083,             0.53958,             0.26142,              0.0468,           0.0081628,            0.020727,           0.0086338,           0.0086338,           0.0086338
                  71,            0.052085,            0.015205,            0.029555,             0.33421,             0.80083,             0.53958,             0.26142,              0.0468,           0.0081628,            0.020727,            0.008614,            0.008614,            0.008614
                  72,             0.06264,            0.016294,            0.033978,             0.33421,             0.80083,             0.53958,             0.26142,              0.0468,           0.0081628,            0.020727,           0.0085942,           0.0085942,           0.0085942
